Title,Description,Preparation Steps,Food Produces,Ingredients,Preparation Time (mins)
"Apple and Walnut Salad","A refreshing and healthy salad with a mix of crisp apples and crunchy walnuts.", "1. Wash and chop the apples into bite-sized pieces. 2. In a mixing bowl, combine the chopped apples and walnuts. 3. Toss the salad with your favorite dressing. 4. Serve chilled.", "200 grams","Apple (100g), Walnuts (100g)",10
"Banana Smoothie","A creamy and delicious smoothie made with ripe bananas.", "1. Peel and slice the bananas. 2. In a blender, add the sliced bananas and any other optional ingredients. 3. Blend until smooth and creamy. 4. Pour into a glass and enjoy!", "250 milliliters","Banana (150g), Almond Milk (100g)",5
"Grilled Lemon Garlic Shrimp","Juicy shrimp marinated in a zesty lemon garlic sauce and grilled to perfection.", "1. In a bowl, mix together lemon juice, minced garlic, olive oil, and seasoning. 2. Add the shrimp to the marinade and let it sit for 30 minutes. 3. Preheat the grill and cook the shrimp for 2-3 minutes per side. 4. Serve hot.", "300 grams","Shrimp (200g), Lemon Juice (20g), Olive Oil (10g), Garlic (5g), Seasoning (5g)",15
"Mango Salsa","A tropical and tangy salsa with fresh mangoes and colorful veggies.", "1. Peel and dice the ripe mangoes. 2. In a bowl, mix together diced mangoes, chopped tomatoes, onions, cilantro, and lime juice. 3. Season with salt and pepper to taste. 4. Chill the salsa before serving.", "180 grams","Mango (100g), Tomato (50g), Onion (20g), Cilantro (5g), Lime Juice (5g)",10
"Vegetable Stir-Fry","A quick and healthy stir-fry with an assortment of colorful vegetables.", "1. Chop all the vegetables into thin strips or bite-sized pieces. 2. Heat oil in a pan or wok over high heat. 3. Add the vegetables and stir-fry for 3-4 minutes until tender-crisp. 4. Season with soy sauce and serve.", "300 grams","Broccoli (100g), Carrot (50g), Bell Pepper (50g), Onion (30g), Soy Sauce (20g)",15
"Salmon with Dill Sauce","Tender salmon fillets topped with a creamy dill sauce.", "1. Preheat the oven and season the salmon fillets with salt and pepper. 2. Bake the salmon in the oven until fully cooked. 3. In a separate bowl, mix together yogurt, chopped dill, lemon juice, and garlic. 4. Serve the salmon with the dill sauce.", "2 fillets (200 grams each)","Salmon (400g), Yogurt (50g), Dill (10g), Lemon Juice (10g), Garlic (5g)",20
"Veggie Lentil Soup","A hearty and nutritious soup made with lentils and a medley of vegetables.", "1. In a pot, sauté onions and garlic until fragrant. 2. Add chopped vegetables, lentils, and vegetable broth. 3. Simmer until lentils are tender. 4. Season with herbs and spices to taste.", "400 milliliters","Lentils (100g), Carrot (50g), Celery (50g), Onion (30g), Garlic (5g), Vegetable Broth (250ml)",30
"Stuffed Bell Peppers","Colorful bell peppers stuffed with a flavorful mixture of rice, beans, and spices.", "1. Preheat the oven and cut the tops off the bell peppers. 2. Remove seeds and stuff the bell peppers with cooked rice and black beans. 3. Bake until peppers are tender. 4. Garnish with fresh herbs before serving.", "4 peppers (300 grams each)","Bell Pepper (400g), Cooked Rice (150g), Black Beans (100g), Spices (5g)",25
"Coconut Curry Tofu","A creamy and aromatic coconut curry with tofu and assorted vegetables.", "1. In a pan, sauté onions and garlic until softened. 2. Add cubed tofu and chopped vegetables. 3. Pour in coconut milk and curry paste. 4. Simmer until everything is cooked and flavors meld.", "300 grams","Tofu (150g), Coconut Milk (100g), Curry Paste (10g), Mixed Vegetables (50g)",20
"Blueberry Oatmeal Muffins","Moist and wholesome muffins packed with juicy blueberries and oats.", "1. Preheat the oven and line muffin tins with paper liners. 2. In a bowl, mix together oats, flour, baking powder, and salt. 3. In another bowl, whisk together eggs, melted butter, milk, and sweetener. 4. Combine wet and dry ingredients and fold in blueberries. 5. Fill muffin tins and bake until golden.", "12 muffins (200 grams each)","Oats (100g), Flour (100g), Baking Powder (10g), Salt (5g), Eggs (50g), Butter (50g), Milk (100ml), Sweetener (20g), Blueberries (50g)",30
"Pasta with Tomato Sauce","Classic pasta dish with a rich and flavorful tomato sauce.", "1. Cook pasta according to package instructions. 2. In a pan, sauté onions and garlic until softened. 3. Add canned tomatoes, herbs, and spices. 4. Simmer until the sauce thickens. 5. Toss cooked pasta in the sauce and serve.", "400 grams","Pasta (100g), Canned Tomatoes (200g), Onion (30g), Garlic (5g), Herbs (5g), Spices (5g)",20
"Quinoa Salad with Veggies","A nutritious and colorful salad featuring quinoa and fresh vegetables.", "1. Cook quinoa according to package instructions. 2. In a bowl, mix together cooked quinoa, chopped vegetables, and herbs. 3. Dress with olive oil and lemon juice. 4. Chill before serving.", "300 grams","Quinoa (100g), Mixed Vegetables (100g), Olive Oil (10g), Lemon Juice (10g), Herbs (5g)",15
"Tofu Scramble","A tasty vegan alternative to scrambled eggs made with crumbled tofu and vegetables.", "1. In a pan, sauté onions and garlic until softened. 2. Add crumbled tofu and chopped vegetables. 3. Season with turmeric, nutritional yeast, and salt. 4. Cook until tofu is heated through and flavors meld.", "250 grams","Tofu (150g), Onion (30g), Garlic (5g), Turmeric (5g), Nutritional Yeast (10g), Salt (2g)",15
"Chicken and Vegetable Stir-Fry","A delicious stir-fry featuring tender chicken and a medley of colorful vegetables.", "1. Slice chicken into thin strips and marinate with soy sauce and cornstarch. 2. In a wok, stir-fry chicken until browned. 3. Add chopped vegetables and stir-fry until tender-crisp. 4. Season with additional soy sauce and serve.", "400 grams","Chicken (150g), Soy Sauce (20g), Cornstarch (5g), Mixed Vegetables (200g)",20
"Rice and Bean Burritos","Hearty and satisfying burritos filled with seasoned rice, black beans, and veggies.", "1. Cook rice according to package instructions and season with spices. 2. In a pan, sauté onions and garlic until softened. 3. Add cooked rice, black beans, and chopped vegetables. 4. Warm tortillas and fill with the rice and bean mixture. 5. Roll up and enjoy!", "4 burritos (200 grams each)","Rice (100g), Black Beans (100g), Onion (30g), Garlic (5g), Spices (5g), Tortillas (50g)",25
"Quinoa-Stuffed Bell Peppers","Colorful bell peppers filled with a tasty mixture of quinoa, beans, and vegetables.", "1. Preheat the oven and cut the tops off the bell peppers. 2. Remove seeds and stuff the bell peppers with cooked quinoa and black beans. 3. Bake until peppers are tender. 4. Garnish with fresh herbs before serving.", "4 peppers (300 grams each)","Quinoa (100g), Black Beans (100g), Bell Pepper (400g), Mixed Vegetables (50g), Herbs (5g)",30
"Veggie Sushi Rolls","Homemade sushi rolls filled with fresh vegetables and avocado.", "1. Cook sushi rice according to package instructions and season with rice vinegar and sugar. 2. Place a nori sheet on a bamboo mat. 3. Spread rice on the nori, leaving a border at the top. 4. Arrange sliced vegetables and avocado on the rice. 5. Roll up tightly and slice into sushi rolls. 6. Serve with soy sauce and wasabi.", "10 rolls (200 grams each)","Sushi Rice (100g), Nori Sheets (10g), Rice Vinegar (5g), Sugar (2g), Mixed Vegetables (100g), Avocado (50g), Soy Sauce (20g), Wasabi (5g)",40
"Avocado and Tomato Salad","A simple and delicious salad with ripe avocados and juicy tomatoes.", "1. Peel and dice the ripe avocados. 2. In a bowl, mix together diced avocados, cherry tomatoes, onions, and cilantro. 3. Dress with olive oil and lime juice. 4. Season with salt and pepper to taste.", "180 grams","Avocado (100g), Cherry Tomatoes (50g), Onion (20g), Cilantro (5g), Olive Oil (10g), Lime Juice (5g)",10
"Peanut Tofu Noodles","Flavorful noodles with a peanut sauce and marinated tofu.", "1. Cook noodles according to package instructions. 2. In a pan, sauté onions and garlic until softened. 3. Add cubed tofu and stir-fry until browned. 4. Mix together peanut butter, soy sauce, lime juice, and spices to make the sauce. 5. Toss cooked noodles and tofu with the peanut sauce. 6. Serve garnished with chopped peanuts and cilantro.", "300 grams","Noodles (100g), Tofu (150g), Peanut Butter (20g), Soy Sauce (10g), Lime Juice (5g), Spices (5g), Peanuts (10g), Cilantro (5g)",25
"Black Bean and Corn Salad","A colorful and zesty salad with black beans, corn, and bell peppers.", "1. Rinse and drain canned black beans and corn. 2. In a bowl, mix together black beans, corn, diced bell peppers, and cilantro. 3. Dress with olive oil and lime juice. 4. Season with salt and pepper to taste.", "200 grams","Black Beans (100g), Corn (100g), Bell Pepper (50g), Cilantro (5g), Olive Oil (10g), Lime Juice (5g)",15
